Name: dataset

//Variables: name of variable followed by names of states

vvar04: s0 s1 s2 s3 
vvar05: s0 s1 s2 s3 s4 s5 s6 s7 s8 
vvar43: s0 s1 s2 s3 s4 s5 
vvar44: s0 s1 s2 
vvar45: s0 s1 
vvar46: s0 s1 s2 
vvar47: s0 s1 s2 
vvar48: s0 s1 
vvar49: s0 s1 s2 
vvar51: s0 s1 
vvar52: s0 s1 s2 
vvar53: s0 s1 
vvar54: s0 s1 s2 s3 
vvar55: s0 s1 s2 s3 s4 
vvar56: s0 s1 
vvar57: s0 s1 
vvar58: s0 s1 
vvar59: s0 s1 s2 s3 s4 
vvar61: s0 s1 
vvar62: s0 s1 
vvar63: s0 s1 
vvar64: s0 s1 
vvar65: s0 s1 
vvar66: s0 s1 
vvar67: s0 s1 
vvar68: s0 s1 s2 
vvar69: s0 s1 
vvar70: s0 s1 
vvar72: s0 s1 
vvar73: s0 s1 s2 
vvar74: s0 s1 
vvar75: s0 s1 
vvar76: s0 s1 s2 
vvar77: s0 s1 
vvar78: s0 s1 
vvar79: s0 s1 
vvar80: s0 s1 s2 
vvar82: s0 s1 
vvar83: s0 s1 s2 
vvar84: s0 s1 
vvar85: s0 s1 
vvar86: s0 s1 

//Records: Numbers in the last column are frequencies.

2 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0   5.0
2 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0   5.0
2 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0   2.0
2 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0   1.0
2 0 4 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0   2.0
2 0 4 2 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0   1.0
2 0 4 2 0 0 1 0 0 0 0 0 0 0 0 0 0 3 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1   1.0
2 0 4 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   1.0
2 0 4 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0   3.0
2 0 4 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0   9.0
2 0 4 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0   1.0
